company_name,website,technology,country,founded,description,source_repo,source_file,source_downloaded_at
Silicon Assurance,siliconassurance.com,EDA,US,2020,EDA software that enable secure chip design,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
SiliconSpace,siliconspace.org,EDA,US,2025,Cloud based EDA platform,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Silimate,silimate.com,EDA,US,2023,Co-pilot for chip designers,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Silogy,silogy.io,EDA,US,2023,Collaborative platform for integrated circuit design,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
SiMa.ai,sima.ai,AI,US,2018,AI processing for edge devices,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Snowcap Compute,snowcapcompute.com,HPC,US,2025,Superconducting computing platform,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
SWIR Vision Systems,swirvisionsystems.com,SENSORS,US,2018,Image sensors for short-wave infrared cameras,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Syntiant,syntiant.com,AI,US,2017,Neuromorphic processing for edge devices,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Taalas,taalas.com,AI,CA,2023,Automated generation of AI hardware,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Tachyum,tachyum.com,HPC,US,2016,High performance processor architecture,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Tenstorrent,tenstorrent.com,AI,CA,2016,AI processing devices,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
Tetramem,tetramem.com,AI,US,2018,AI accelerator for edge inference,https://github.com/aolofsson/awesome-semiconductor-startups,startups.csv,2026-07-04T03:32:16+00:00
